Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
"Thông báo ngừng cấp điện gửi cho khách hàng do đơn vị nào thực hiện","Công ty Điện lực","Tổng công ty Điện lực TP Hà Nội","Công ty Công nghệ thông tin Điện lực Hà Nội","Không phải gửi thông báo","A"
"Thông báo ngừng cấp điện được thực hiện trên ứng dụng nào","CRM","Web KD","EVNHES","Cmis","B"
"Lập chi phí đóng cắt điện được thực hiện trên ứng dụng nào","CRM","Web KD","EVNHES","Cmis","D"
"Tỷ lệ thu nộp tiền điện Tổng công ty giao cho các đơn vị hàng tháng là bao nhiêu","Từ 99,7%","Từ 99,8%","Từ 99,9%","Đạt 100%","A"
"Xóa nợ cho các ngân hàng, tổ chức trung gian thanh toán thực hiện ở chức năng nào trên hệ thống cmis","Xác nhận thu tiền qua nhà cung cấp khác","Thu tiền tại quầy","Đối soát số liệu với NH/TCTG qua cổng thanh toán tiền điện","Chấm xóa nợ TNV","A"
"Cập nhật địa chỉ email của khách hàng ở chức năng nào trong cmis","Tiện ích thay đổi thông tin điểm đo","Thay đổi thông tin khách hàng","Thay đổi thông tin liên hệ khách hàng","Thay đổi thông tin phụ lục hợp đồng","C"
"Các hình thức nhắn tin trên cổng tin nhắn chăm sóc khách hàng","EMAIL, ZALO, APP","SMS, ZALO, APP","EMAIL, ZALO, APP, SMS","EMAIL, APP, SMS","D"
"Phúc tra công tơ thực hiện ở chức năng nào trên phần mềm kd.evnhanoi","Treo tháo thiết bị đo đếm","Đo đếm và giao nhận điện năng","Kiểm tra thiết bị đo đếm điện năng","Ghi chỉ số","C"
"Cập nhật đóng, cắt điện trên phần mềm nào","Ứng dụng Kinh doanh và dịch vụ khách hàng","Hệ thống CMIS","Hệ thống EVNHES","Ứng dụng hiện trường EVNHANOI","B"
"Báo cáo Danh sách khách hàng ký mua CSPK ở phân hệ nào trên cmis","Báo cáo hợp đồng","Báo cáo chỉ số","Báo cáo đo đếm","Báo cáo hóa đơn","A"
"Thống kê điện năng tiêu thụ theo khách hàng lấy ở phân hệ nào","Báo cáo chỉ số","Báo cáo hóa đơn","Báo cáo tổn thất","Báo cáo kinh doanh","B"
"Cần thực hiện tao tác nào trước khi chuyển tháng của các phân hệ?","In báo cáo","Tổng hợp báo cáo","Chốt và tổng hợp báo cáo","Chốt báo cáo","C"
"Điểm đo loại 3 treo công tơ loại nào ?","Công tơ điện tử bán 3 giá","Công tơ điện tử đo đếm KT","Bán điện theo thời gian (3 giá), treo công tơ điện tử đa năng","Công tơ điện tử đa năng, bán điện theo thời gian (3 giá)","A"
"Lập hóa đơn phát sinh bao gồm các bước ?","Lập lịch ghi chỉ số, nhập chỉ số định kỳ, xác nhận số liệu chỉ số, tính hóa đơn, xác nhận số liệu in hóa đơn, ký hóa đơn điện tử hsm.","Nhập chỉ số định kỳ, xác nhận số liệu chỉ số, tính hóa đơn, xác nhận số liệu in hóa đơn","Lập lịch ghi chỉ số, nhập chỉ số định kỳ, xác nhận số liệu chỉ số, tính hóa đơn","Lập lịch ghi chỉ số, nhập chỉ số định kỳ, tính hóa đơn, xác nhận số liệu in hóa đơn","A"
"Công tơ nhận phận bổ về tình trạng là E (dưới lưới điện lực) mà vẫn còn hạn kiểm định thì có treo được không?","Vẫn treo được bình thường","Không treo được","Chỉ treo được trong cấp mới chứ không thay định kỳ được","Chỉ treo tháo định kỳ được chứ không treo mới được","A"
"Thực hiện cập nhật biên bản khảo sát cấp mới công tơ 1 pha vào phần mềm nào","app tích hợp kinh doanh","app quản lý thông tin khách hàng (CMIS)","app cấp điện online","app cấp điện trung áp","A"
"Đâu là phần mềm gửi tin nhắn thông báo tiền điện lần 2","http://cmis4.evnhanoi.vn/CMIS40","http://kd.evnhanoi.vn","http://10.9.184.71:8099","http://10.9.184.71:8055","B"
"Thực hiện quyết toán hồ sơ cấp điện cần phải thực hiện ở đâu","Phân hệ dịch vụ cấp điện điện tử trong hệ thống CMIS","Phân hệ dịch vụ điện trong hệ thống CMIS","Phân hệ quản lý và theo dõi nợ trong hệ thống CMIS","Phân hệ quản lý dịch vụ điện trong hệ thống tích hợp kinh doanh","D"
"Khách hàng ký số biên bản treo tháo ở đâu","http://evnhes.evnhanoi.vn/","http://cmis4.evnhanoi.vn/CMIS40","http://kd.evnhanoi.vn","https://evnhanoi.vn","D"
"Khách hàng có yêu cầu điều chỉnh lại địa chỉ trên hóa đơn thì phải làm gì trên cmis","Lập Biên bản điều chỉnh hóa đơn bản giấy gửi cơ quan thuế","Lập hóa đơn hủy bỏ lập lại hóa đơn","Lập hóa đơn điều chính khác - hóa đơn 0 đồng trong hệ thống CMIS","Lập hóa đơn điều chỉnh ở phân hệ kiểm tra giám sát trong hệ thống CMIS","C"
"Phần mềm thực hiện kiểm tra định mức áp giá bán điện","Phân hệ kiểm tra giám sát trên hệ thống CMIS","Phân hệ kiểm tra định mức áp giá bán điện trên hệ thống tích hợp kinh doanh","Phân hệ quản lý hợp đồng điện tử trên hệ thống CMIS","Phân hệ kiểm tra định mức áp giá bán điện trên hệ thống CMIS","B"
"Biên bản giao nhận hóa đơn nằm trong phần nào?","Tiện ích trong phân hệ ghi chỉ số và lập hóa đơn","Tiện ích trong phân hệ báo cáo tổng hợp","Tiện ích trong phân hệ công nợ","Tiện ích trong phân hệ đo đếm","A"
"Các bước lập hóa đơn điều chỉnh ?","Tiếp nhận hóa đơn sai cần điều chỉnh","In hóa đơn điều chỉnh","Tiếp nhận hóa đơn sai cần điều chỉnh, tính hóa đơn điều chỉnh, in hóa đơn điều chỉnh","Giao phát hành hóa đơn điều chỉnh","C"
"Chức năng nào trên cmis có thể thay đổi mã khách hàng thanh toán mà không phải thực hiện thanh lý ký lại?","Thay đổi thông tin điểm đo","Thay đổi thỏa thuận giá bán điện","Thay đổi vị trí điểm đo","Thay đổi thông tin khách hàng","D"
"Dịch vụ thanh toán qua nhà cung cấp dịch vụ khác dùng để làm gì?","Cập nhật xóa nợ cho các hóa đơn thu tại quầy","Cập nhật xóa nợ cho các hóa đơn đã thu qua các dịch vụ thanh toán khác như ATM, tổ chức trung gian, ….","Cập nhật xóa nợ cho các hóa đơn chuyển UNC qua ngân hàng","Cập nhật xóa nợ cho các hóa đơn thu qua ngân hàng","B"
"Điều kiện xóa biên bản quyết toán?","Biên bản quyết toán được giao thu tiếp","Biên bản quyết toán đã bị chuyển sang tình trạng nợ khó đòi","Biên bản chưa được giao thu tiếp hoặc chưa bị chuyển sang các trạng thái nợ khó đòi hoặc chờ kiểm tra sai sót","Biên bản quyết toán đã bị chuyển sang tình trạng chờ kiểm tra sai sót","C"
"Hóa đơn có thể chấm nợ cho thu ngân khác với thu ngân giao thu thì có ảnh hưởng số thu của 2 thu ngân hay không?","Không ảnh hưởng","Có ảnh hưởng","Ảnh hưởng số thu của thu ngân thu hộ","Ảnh hưởng số thu của thu ngân được thu hộ","B"
"Trước khi treo tháo thiết bị đo đếm cần thực hiện thao tác nào?","Lập tờ ghi chỉ số","Lập biên bản thỏa thuận bán điện","Lập biên bản chấm dứt hợp đồng","Lập biên bản treo tháo thiết bị đo đếm","D"
"Thực hiện cập nhật biên bản khảo sát cấp mới công tơ 1 pha trên phần mềm nào","App tích hợp kinh doanh","app quản lý thông tin khách hàng (CMIS)","app cấp điện online","app cấp điện trung áp","A"
"Thực hiện quyết toán hồ sơ cấp điện hạ áp cần phải thực hiện ở chức năng nào","Phân hệ dịch vụ cấp điện điện tử trong hệ thống CMIS","Phân hệ dịch vụ điện trong hệ thống CMIS","Phân hệ quản lý và theo dõi nợ trong hệ thống CMIS","Phân hệ quản lý dịch vụ điện trong hệ thống tích hợp kinh doanh","D"
"Điều kiện để chuyển tháng hóa đơn","Không có điều kiện gì","Thực hiện chốt xong báo cáo phân hệ hóa đơn","Thực hiện chuyển tháng phân hệ kiểm tra giám sát và chốt xong báo báo phân hệ hóa đơn","Thực hiện chốt báo cáo kinh doanh","C"
"Khách hàng ký biên bản treo tháo ở đâu","http://evnhes.evnhanoi.vn/","http://cmis4.evnhanoi.vn/CMIS40","http://kd.evnhanoi.vn","https://evnhanoi.vn","D"
"Ghi chỉ số định kỳ từ hệ thống đo xa hàng tháng thực hiện trên phần mềm nào","http://cmis4.evnhanoi.vn/CMIS40","htttp://kd.evnhanoi.vn","https://evnhanoi.vn","http://evnhes.evnhanoi.vn","B"
"Đăng ký dịch vụ lắp mới công tơ cho khách hàng chuyên dùng ở trang nào","http://cmis4.evnhanoi.vn/CMIS40","htttp://kd.evnhanoi.vn","https://evnhanoi.vn","http://trungap.evnhanoi.vn","C"
"Khách hàng trạm chuyên dùng tạo công văn yêu cầu kiểm tra điều kiện đóng điện điểm đấu nối và nghiệm thu ở đâu","http://cmis4.evnhanoi.vn/CMIS40","htttp://kd.evnhanoi.vn","https://evnhanoi.vn","http://trungap.evnhanoi.vn","C"
"Để thêm 1 xuất tuyến cho cây tổn thất thực hiện ở chức năng nào?","Quản lý tổn thất\ Quản lý điểm đo đầu nguồn\ Quản lý thông tin điểm đo đầu nguồn","Quản lý tổn thất\ Quản lý cây tổn thất\ Kiểm soát sản lượng điểm đo đầu nguồn","Quản lý tổn thất\ Quản lý chỉ số điểm đo đầu nguồn\ Chuyển sổ, lộ trình ghi chỉ số","Quản lý tổn thất\ Quản lý cây tổn thất\ Nhập kế hoạch tổn thất cho phần tử điện","A"
"Thao tác nhập sản lượng thay đổi phương thức một trạm ở chức năng nào","Quản lý tổn thất\ Quản lý chỉ số điểm đo đầu nguồn\ Nhập chỉ số đầu nguồn","Quản lý tổn thất\ Quản lý chỉ số điểm đo đầu nguồn\ Tính sản lượng đầu nguồn","Quản lý tổn thất\ Quản lý chỉ số điểm đo đầu nguồn\ Nhập sản lượng san tải thương phẩm","Quản lý tổn thất\ Quản lý chỉ số điểm đo đầu nguồn\ Nhập sản lượng MTAM","C"
"Điều kiện thực hiện lập lịch ghi chỉ số đầu nguồn trên hệ thống CMIS","Phải chuyển tháng đúng tháng cần lập lịch","Lập lịch bình thường không cần điều kiện gì","Sổ ghi chỉ số còn hiệu lực và lập lịch được mọi thời điểm","Chỉ lập lịch được 1 tháng trước và 1 tháng sau so với tháng hiện tại","C"
"Thực hiện treo tháo công tơ cho 1 điểm đo đầu nguồn ở hệ thống nào","Phân hệ tổn thất ở hệ thống CMIS","Phân hệ quản lý thiết bị đo đếm ở hệ thống CMIS","Phân hệ treo tháo thiết bị đo đếm ở hệ thống tích hợp kinh doanh (kd.evnhanoi.vn)","Phân hệ đo đếm và GNĐN ở hệ thống tích hợp kinh doanh (kd.evnhanoi.vn)","B"
"Để thực hiện cập nhật dữ liệu định danh khách hàng có thể thao tác ở phần mềm nào","Hệ thống web/app CMIS","Hệ thống tích hợp kinh danh (kd.evnhanoi.vn)","Hệ thống web/app CMIS và web/app EVNHANOI","Hệ thống web/app CMIS và web EVNHANOI","D"
"Chức năng gửi thông báo tiền điện lần 2 thao tác ở phần mềm nào","http://cmis4.evnhanoi.vn/CMIS40","http://kd.evnhanoi.vn","https://evnhanoi.vn","http://trungap.evnhanoi.vn","B"
"Khách hàng có thể ký số Hợp đồng MBĐ bằng hình thức nào","USB, SIM CA","USB; OTP; HSM","USB; OTP","USB; OTP; HSM, SIM CA","C"
"Thực hiện dự thảo hợp đồng cho yêu cầu thay đổi chủ thể hợp đồng thực hiện ở phần mềm nào","http://cmis4.evnhanoi.vn/CMIS40","http://kd.evnhanoi.vn","https://evnhanoi.vn","http://trungap.evnhanoi.vn","A"
"Đối với điểm đo đầu nguồn và điểm đo ranh giới, hệ thống phần mềm thu thập dữ liệu được sử dụng hiện nay là gì?","CMIS","MDMS","Hệ thống đo xa ĐNRG (sau này chuyển sang EVNHES)","Module đo xa thuộc hệ thống tíc hợp các phần mềm trong kinh doanh và DVKH","C"
"Trong hệ thống RF-Mesh, thiết bị nào có chức năng tăng khoảng cách truyền tín hiệu giữa công tơ và DCU?","Router","Repeater","Gateway","Converter","B"
"Sau khi khai báo điểm đo trên CMIS (cấp mới hoặc treo tháo công tơ), thời gian tối đa để khai báo trên EVNHES là bao lâu?","12 giờ","24 giờ","48 giờ","72 giờ","B"
"Mục tiêu chính của việc khai thác dữ liệu từ hệ thống đo xa là gì?","Tăng giá bán điện","Nâng cao năng suất lao động và độ tin cậy cung cấp điện","Thay thế toàn bộ công tơ cơ bằng công tơ điện tử","Giảm nhân lực ghi chỉ số","B"
"Trước khi lắp modem GPRS/3G/4G cho công tơ cần kiểm tra điều kiện nào?","Công tơ có module truyền thông","Công tơ có anten ngoài","Công tơ có sim","Công tơ có pin","A"
"Nếu modem không sáng đèn nguồn, nguyên nhân có thể là gì?","Sai địa chỉ IP","Mất nguồn cấp","Sai mật khẩu","Sai serial công tơ","B"
"Nếu công tơ RF hoạt động bình thường nhưng không truyền dữ liệu nguyên nhân có thể là gì?","Hỏng module RF","Hỏng máy biến áp","Áp sai giá điện trên CMIS","Sai sơ đồ đấu dây","A"
"DCU online trên EVNHES nhưng không thu được dữ liệu của các công tơ phía sau, trong khi trước đó vẫn thu thập bình thường. Nguyên nhân thường gặp nhất là gì?","DCU lỗi firmware","Đường truyền PLC/RF từ công tơ về DCU bị suy giảm hoặc nhiễu","Server EVNHES quá tải","Mất GPS đồng bộ thời gian","B"
"Một DCU đang hoạt động bình thường, sau khi thay công tơ mới, điểm đo không truyền dữ liệu về hệ thống. Nguyên nhân thường gặp nhất là gì?","Công tơ mới chưa khai báo trong EVNHES/DCU","DCU hỏng phần cứng","Máy chủ EVNHES lỗi","Lỗi firmware DCU","A"
"Một DCU hoạt động nhưng tỷ lệ thu thập dữ liệu thấp bất thường vào giờ cao điểm buổi tối. Nguyên nhân kỹ thuật có khả năng cao nhất là gì?","EVNHES lỗi","Nhiễu PLC do phụ tải điện và thiết bị điện tử trong khu dân cư","Công tơ đo đếm không chính xác","DCU bị mất nguồn","B"
"Nêu các giải pháp làm giảm tổn thất điện áp trên hệ thống điện?","Cách thứ nhất: -Tăng điện nguồn điện dự phòng -Đặt tụ bù.","Cách thứ hai: -Làm giảm điện trở R và điện kháng X của đường dây. -Duy trì điện áp đầu nguồn luôn đạt điện áp định mức.","Cách thứ ba: -Tăng công suất trạm biến áp. -Tăng điện nguồn điện dự phòng.","Cách thứ tư: - Làm giảm điện trở Rvà điện kháng X của đường dây. - Chọn cấp điện áp lưới điện phù hợp. - Bán kính cung cấp điện phù hợp. - Duy trì điện áp đầu nguồn luôn đạt điện áp định mức. - Đặt tụ bù.","D"
"Các biện pháp nào sau đây không gọi là biện pháp kỹ thuật để chống tổn thất điện năng?","Nâng cao mức điện áp vận hành","Giảm công suất phản kháng trên lưới, nâng cao cos phi của phụ tại","Vận hành kinh tế trạm biến áp","Chống ăn cắp điện","D"
"Tổn thất nào dưới đây gọi là tổn thất phi kỹ thuật?","Tổn thất do điện trở của dây dẫn","Câu móc điện để phục vụ vận hành","Tổn thất trong máy biến áp","Tổn thất vầng quang","B"
"Lưới điện trung, hạ áp có tổn thất điện áp phụ thuộc vào?","Số pha của lưới điện (1 pha hay 3 pha)","Tiết diện dây dẫn, dòng điện tải và khoảng cách phân phối","Độ cân bằng phụ tải giữa các pha và hệ thống tiếp đất lặp lại","Điện áp nguồn và khoảng cách phân phối","B"
"Báo cáo quản lý tổn thất trong EVNHANOI có mấy hình thức báo cáo tổn thất điện năng theo kỳ GCS","1 hình thức","2 hình thức","3 hình thức","4 hình thức","B"
"Điện năng từ hệ thống điện mặt trời mái nhà tại các TBA 110 kV, 220 kV được tính vào thành phần nào?","Được bù trừ vào điện tự dùng của trạm biến áp.","Được tính vào điện nhận của đơn vị (CTĐL, TCT).","Được tính vào điện thương phẩm của đơn vị (CTĐL, TCT).","Được tính vào điện giao của đơn vị (CTĐL, TCT).","A"
"Tổng điện năng nhận của Công ty Điện lực bao gồm những thành phần nào?","+ Tổng điện năng nhận từ các TBA 110 kV, TBA 220 kV. + Tổng điện năng nhận từ các đơn vị khác qua ranh giới giao nhận. + Tổng điện năng nhận từ các khách hàng sử dụng điện.","+ Tổng điện năng nhận từ các TBA 110 kV, 220 kV. + Tổng điện năng nhận từ các đơn vị khác qua ranh giới giao nhận và qua các TBA giao nhận lẻ.","+ Tổng điện năng nhận từ các TBA 110 kV, TBA 220 kV. + Tổng điện năng nhận từ các đơn vị khác qua ranh giới giao nhận và qua các TBA giao nhận lẻ. + Tổng điện năng nhận từ các khách hàng sử dụng điện. + Tổng điện năng tự sản xuất phát lên lưới điện.","+ Tổng điện năng nhận từ các TBA 110 kV, TBA 220 kV. + Tổng điện năng nhận từ các khách hàng sử dụng điện.","C"
"Tổng điện năng giao của Công ty Điện lực bao gồm những thành phần nào?","+ Tổng điện năng giao lên các TBA 110 kV, TBA 220 kV. + Tổng điện năng giao các đơn vị khác qua ranh giới giao nhận và qua các TBA giao nhận lẻ.","+ Tổng điện năng giao lên các TBA 110 kV, TBA 220 kV. + Tổng điện năng giao các đơn vị khác qua ranh giới giao nhận. + Tổng điện năng giao đến các khách hàng sử dụng điện.","+ Tổng điện năng giao lên các TBA 110 kV, TBA 220 kV. + Tổng điện năng giao đến các khách hàng sử dụng điện.","+ Tổng điện năng giao lên các TBA 110 kV, TBA 220 kV. + Tổng điện năng giao các đơn vị khác qua ranh giới giao nhận và qua các TBA giao nhận lẻ. + Tổng điện năng giao đến các khách hàng sử dụng điện.","D"
"Điện tự dùng tại trạm biến áp của lưới điện truyền tải và phân phối được theo dõi, đo đếm có tính vào tổn thất điện năng của lưới điện không?","Có tính vào tổn thất điện năng của lưới điện","Không tính vào tổn thất điện năng của lưới điện","Chỉ tính 50% sản lượng điện tự dùng vào tổn thất điện năng của lưới điện","Tùy từng trường hợp","A"
"Với các dữ liệu: An là tổng điện năng nhận vào của lưới điện; Ag là tổng điện năng giao đi của lưới điện; Aktt là tổng điện năng không được tính tổn thất trên lưới điện. Trong trường hợp tổng quát, tỷ lệ tổn thất điện năng theo thương phẩm trên một lưới điện cụ thể được xác định như thế nào?","ΔA(%) = ((An-Ag)/(An+Aktt)) x 100%","ΔA(%) = ((An-Ag)/An) x 100%","ΔA(%) = ((An-Ag)/(An-Aktt)) x 100%","ΔA(%) = ((An-Ag)/Ag) x 100%","C"
"Trong trường hợp đặc biệt phải lấy điện sau các máy biến áp tự dùng tại các trạm điện để cấp cho mục đích khác thì phải lắp đặt công tơ đo đếm riêng, sản lượng điện cấp cho các mục đích này phải được Đơn vị quản lý trạm điện giao nhận với các TCTĐL, CTĐL và phải được tính vào sản lượng điện thương phẩm của các TCTĐL, CTĐL. Sản lượng này có được tính vào điện năng tự dùng của trạm biến áp không?","Được tính vào điện năng tự dùng của trạm biến áp.","Không được tính vào điện năng tự dùng của trạm biến áp.","Chỉ tính 30% sản lượng vào điện năng tự dùng của trạm biến áp","Tùy từng trường hợp.","B"
"Điện năng không gây tổn thất điện năng trên lưới điện của Đơn vị được hiểu là gì?","Là điện năng nhận nhưng giao ngay cho Đơn vị khác hoặc khách hàng","Là điện năng nhận nhưng giao ngay cho Đơn vị khác","Là điện năng nhận nhưng giao ngay cho khách hàng","Là điện năng nhận nhưng giao ngay cho Đơn vị khác hoặc khách hàng trên cùng một điểm đo","D"
"Tổn thất điện năng trên lưới điện là gì?","Là lượng điện năng tiêu hao cho quá trình truyền tải điện đến các hộ tiêu thụ điện.","Là lượng điện năng tiêu hao cho quá trình phân phối điện đến các hộ tiêu thụ điện.","Là lượng điện năng tiêu hao cho quá trình truyền tải và phân phối điện khi tải điện từ ranh giới giao nhận với các nhà máy phát điện qua lưới điện truyền tải, lưới điện phân phối đến các hộ tiêu thụ điện.","Là lượng điện năng tiêu hao cho quá trình truyền tải và phân phối điện đến các hộ tiêu thụ điện.","C"
"Biện pháp nào sau đây được coi là giải pháp kỹ thuật hiệu quả nhất để giảm tổn thất điện năng cho lưới điện hạ thế đang bị quá tải?","Thay đổi biểu giá bán lẻ điện cho khu vực đó.","Cải tạo nâng cấp tiết diện dây dẫn và thực hiện cân pha, san tải định kỳ","Tăng cường công tác kiểm tra áp giá và mục đích sử dụng điện.","Dịch lịch ghi chỉ số công tơ của khách hàng.","B"
"Khi phát hiện tổn thất điện năng tại một trạm biến áp công cộng tăng bất thường sau phiên GCS, người được giao quản lý phải thực hiện công việc gì?","Thực hiện truy thu tiền điện của tất cả khách hàng trong trạm.","Rà soát chỉ số công tơ, sector, đối soát sản lượng đầu nguồn và kiểm tra thực tế để tìm điểm bất thường.","Điều chỉnh chỉ số công tơ tổng","Theo dõi chu kỳ GCS tiếp theo để phương án xử lý","B"
"Điện năng từ hệ thống điện mặt trời mái nhà đấu nối lưới vào lưới điện hạ áp sau trạm biến áp công cộng và có ký hợp đồng mua bán điện dư với EVNHANOI được tính toán trong tổn thất TBA như thế nào?","Tính thêm vào điện thương phẩm của TBA","Trừ ra khỏi điện thương phẩm của TBA","Tính thêm vào điện đầu nguồn của TBA","Trừ ra khỏi điện đầu nguồn của TBA","C"
"Nội dung cơ bản nhận diện mối nguy khi hàn điện, hàn hơi là ?","Điện giật do rò, chạm, chập vào các bộ phận dẫn điện; Bức xạ có hại do hồ quang điện; Khí, bụi độc hại; Bỏng do hạt kim loại nóng chảy, kim loại có nhiệt độ cao; Cháy, nổ.","Điện giật do rò, chạm, chập vào các bộ phận dẫn điện; Tai nạn giao thông; Khí, bụi độc hại; Bỏng do hạt kim loại nóng chảy, kim loại có nhiệt độ cao; Bỏng lạnh","Bức xạ có hại do hồ quang điện; Khí, bụi độc hại; Bỏng do hạt kim loại nóng chảy, kim loại có nhiệt độ cao; Cháy, nổ; Khói bụi.","Điện giật do chạm mỏ hàn; Bức xạ có hại do hồ quang điện; Khí, bụi độc hại; Bỏng lạnh; Cháy, nổ.","A"
"Quy định về kiểm tra thang di động thì nội dung nào không đúng?","Ba tháng một lần cần phải dùng một vật nặng 150kg để treo trên từng bậc thang (kiểu thử tĩnh) xem thang có chịu được không.","Thang phải đang được sử dụng, không bị mọt, oằn, cong khi làm việc trên đó.","Luôn chú ý lau chùi bùn, dầu mỡ bám dính trên bậc thang; Phải thường xuyên kiểm tra thang, nếu thấy chưa an toàn thì phải sửa chữa lại ngay hoặc loại bỏ.","Sáu tháng một lần cần phải dùng một vật nặng 110kg để treo trên từng bậc thang (kiểu thử tĩnh) xem thang có chịu được không.","A"
"Nội dung nào không đúng theo quy định về kỹ thuật thử nghiệm dây đeo an toàn?","Phải được thử 06 tháng 01 lần, bằng cách treo trọng lượng hoặc thiết bị thử dây an toàn chuyên dùng. Trọng lượng thử đối với dây cũ là 225 kg, dây mới là 300 kg, thời gian thử 05 phút.","Sau khi thử dây đeo an toàn phải ghi ngày thử, trọng lượng thử và nhận xét tốt, xấu vào sổ theo dõi thử dây an toàn.","Đánh dấu (dán tem) vào dây đã thử còn đạt tiêu chuẩn, chỉ dây nào đánh dấu mới được sử dụng. Những dây đeo an toàn không sử dụng được phải được lập biên bản và hủy bỏ.","Phải được thử 03 tháng 01 lần, bằng cách treo trọng lượng hoặc thiết bị thử dây an toàn chuyên dùng. Trọng lượng thử đối với dây cũ là 250 kg, dây mới là 300 kg, thời gian thử 05 phút.","D"
"Quy định về quản lý dây đeo an toàn như thế nào?","NCHTT của đơn vị công tác có trách nhiệm quản lý chặt chẽ dây đeo an toàn và chịu trách nhiệm nếu xảy ra tai nạn do dây bị đứt, gẫy móc hoặc do không thử đúng kỳ hạn.","Các nhân có trách nhiệm quản lý chặt chẽ dây đeo an toàn và chịu trách nhiệm nếu xảy ra tai nạn do dây bị đứt, gẫy móc hoặc do không thử đúng kỳ hạn.","ĐVQLVH có trách nhiệm quản lý chặt chẽ dây đeo an toàn và chịu trách nhiệm nếu xảy ra tai nạn do dây bị đứt, gẫy móc hoặc do không thử đúng kỳ hạn.","Đơn vị công tác có trách nhiệm quản lý chặt chẽ dây đeo an toàn và chịu trách nhiệm nếu xảy ra tai nạn do dây bị đứt, gẫy móc hoặc do không thử đúng kỳ hạn.","D"
"Quy định khoảng cách an toàn điện khi có rào chắn (tức là khỏng cách từ rào chắn đến đến phần có điện) đối với điện áp từ trên 1 kV đến 15kV như thế nào?","Không nhỏ hơn 0,35 mét.","Không nhỏ hơn 0,6 mét.","Không nhỏ hơn 0,8 mét.","Không nhỏ hơn 0,9 mét.","A"
"Quy định nối đất tạo vùng an toàn và nối đất tại nơi làm việc như thế nào?","ĐVCT tổ chức thực hiện nối đất tại tất cả các đầu có nguồn điện đến để tạo vùng làm việc an toàn, ĐVQLVH chịu trách nhiệm thực hiện nối đất di động tại nơi làm việc.","ĐVQLVH tổ chức thực hiện nối đất tại tất cả các đầu dây có nguồn điện đến để tạo vùng làm việc an toàn, ĐVCT chịu trách nhiệm thực hiện nối đất di động tại nơi làm việc.","ĐVQLVH tổ chức thực hiện nối đất tại tất cả các vị trí phải nối đất di động tại nơi làm việc.","ĐVQLVH tổ chức thực hiện nối đất di động tại nơi làm việc, ĐVCT chịu trách nhiệm thực hiện, nối đất tại tất cả các đầu có nguồn điện đến để tạo vùng làm việc an toàn.","B"
"Theo Quy trình An toàn quy định cấp có thẩm quyền là ?","Giám đốc, Phó giám đốc Công ty/Trung tâm, Chi nhánh/Khu vực có con dấu pháp nhân hoặc người được ủy quyền/giao nhiệm vụ (theo phân cấp quản lý vận hành hoặc phân công công việc).","Giám đốc, Phó Giám đốc Công ty QLVH thiết bị.","Giám đốc, Phó Giám đốc của đơn vị thao tác thiết bị.","Giám đốc, Phó Giám đốc của đơn vị điều độ lưới điện.","A"
"Điều nào không đúng (không thuộc trách nhiệm) của nhân viên đơn vị công tác khi đến nơi làm việc như thế nào?","Nghe phổ biến nhiệm vụ công việc, phạm vi được phép làm việc, các yếu tố nguy hiểm cần phòng tránh.","Hỏi lại người chỉ huy trực tiếp về những nội dung chưa rõ.","Kiểm tra trang thiết bị, dụng cụ an toàn của ĐVCT.","Khi thấy các điều kiện đảm bảo an toàn để làm việc chưa đủ và đúng phải báo cáo ngay với người chỉ huy trực tiếp để xem xét giải quyết.","C"
"Trong điều kiện bình thường, giá trị điện áp (U) xoay chiều tối thiểu là bao nhiêu thì gây nguy hiểm đến tính mạng khi con người tiếp xúc trực tiếp?","> 24 V","> 36 V","> 42 V","> 50 V","C"
"Các công việc khi tiến hành trên đường dây, thiết bị điện, ở gần hoặc liên quan đến đường dây, thiết bị điện đang mang điện, bao gồm cả vùng ảnh hưởng nguy hiểm bởi cảm ứng điện, đều phải thực hiện theo ?","Thực hiện theo phiếu giao việc","Thực hiện theo phiếu công tác","Thực hiện theo lệnh công tác","Thực hiện theo phiếu công tác hoặc lệnh công tác","D"
"An toàn thao tác tại chỗ thiết bị điện, đáp án nào sau đây là đúng quy định ?","Không cho phép thao tác đóng cắt ngoài trời trong điều kiện thời tiết xấu (ngoài trời có mưa tạo thành dòng chảy trên thiết bị điện, giông sét, ngập lụt, gió từ cấp 06 trở lên)","Thao tác tại chỗ, kéo ra/đưa vào vị trí vận hành thiết bị đóng cắt cao áp phải mang găng tay cách điện áp cao và đi ủng cách điện áp cao hoặc mang găng tay cách điện áp cao và đứng trên ghế/thảm cách điện phù hợp với cấp điện áp","Trước khi thao tác tại chỗ thiết bị đóng cắt cao áp phải kiểm tra máy cắt, aptomat liên quan đang ở vị trí mở.","Cả 3 đáp án là đúng","D"
"Trước khi tiến hành công việc, người nào có trách nhiệm kiểm tra việc sử dụng các trang bị an toàn và bảo hộ lao động của Nhân viên đơn vị công tác?","Cán bộ an toàn chuyên trách Điện lực.","Cán bộ kỹ thuật của Điện lực.","Người giám sát an toàn điện.","Người chỉ huy trực tiếp.","D"
